Numero,Nombre,Direccion,Diesel,Magna,Premium,Latitud,Longitud
PL/5109/EXP/ES/2015,AGROCOMBUSTIBLES EL CHAMIZAL S.A. DE C.V.,Carretera Hermosillo-Bahia de Kino 1471,28.99,23.99,28.99,29.0950981,-111.0175091
PL/5154/EXP/ES/2015,GASERVICIO SA DE CV,Boulevard Francisco Eusebio Kino No. 506,,23.99,29.99,29.0980878,-110.9446192
PL/5157/EXP/ES/2015,SERVICIOS NORORREY S.A. DE C.V.,Boulevard Juan Bautista Escalante No. 405,,24.39,29.99,29.1448362,-110.9881613
PL/5441/EXP/ES/2015,SERVICIOS Z3 SA DE CV,Boulevard Antonio Quiroga No. 120,,23.99,29.99,29.1355321,-111.0242266
PL/5636/EXP/ES/2015,ALMA DELIA MILLAN LÓPEZ,Boulevard Antonio Quiroga No. 86,,23.93,28.43,29.1068196,-111.0235931
PL/5637/EXP/ES/2015,GASERVICIO SANTA CLARA S.A. DE C.V.,Carretera a Sahuaripa Esquina Boulevard de Los Seris 353,29.99,23.99,29.99,29.0300378,-110.916211
PL/5638/EXP/ES/2015,GASERVICIO EL LLANITO QUIROGA S.A. DE C.V.,Calle Dr Antonio Quiroga No. 135,29.99,23.99,29.99,29.0383234,-111.0033336
PL/5639/EXP/ES/2015,GASERVICIO MORELOS S.A. DE C.V.,Boulevard Morelos No. 853,29.99,23.99,29.99,29.1447551,-110.9526195
PL/5640/EXP/ES/2015,GASERVICIO ORIENTE S.A. DE C.V.,Avenida 18 de Marzo No. 78,29.99,22.99,29.99,29.09127399999999,-110.9307235
PL/5641/EXP/ES/2015,GASERVICIO ENCINAS S.A. DE C.V.,Boulevard Solidaridad No. 94,29.99,23.99,29.99,29.0916169,-110.991547
PL/5642/EXP/ES/2015,GASERVICIO SANTA CLARA S.A. DE C.V.,Carretera Fed. No. 15 Tramo Hermosillo-Guaymas Km :248 No. 1194,29.99,23.99,29.99,29.0729673,-110.9559192
PL/5643/EXP/ES/2015,GASERVICIO S.A. DE C.V.,Boulevard José Alberto Healy Noriega No. 1080,29.99,23.85,29.99,29.1503283,-110.9969332
PL/5644/EXP/ES/2015,GASERVICIO S.A. DE C.V.,Luis Donaldo Colosio No. 490 Esquina Con Solidaridad,29.99,22.99,29.99,29.0848923,-110.9849895
